Assembly District Number,STATEFIP,PUMA,PUMA Description,STATEFIP,STATE_CODE
54,26,02703,"Washtenaw County (East Central, Outside Ann Arbor City) PUMA",26,
48,19,01300,Story & Boone Counties--Ames City PUMA,19,
31,53,11615,"King County (Southeast)--Maple Valley, Covington & Enumclaw Cities PUMA",53,
31,53,11505,Pierce County (North Central)--Tacoma (Port) & Bonney Lake (Northwest) Cities PUMA,53,
31,53,11614,King County (Southwest)--Auburn City & Lakeland PUMA,53,
41,53,11609,"King County (Central)--Sammamish, Issaquah, Mercer Island & Newcastle Cities PUMA",53,
41,53,11608,King County (Northwest Central)--Greater Bellevue City PUMA,53,
69,42,03800,"Somerset, Bedford & Fulton Counties PUMA",42,
9,32,00408,Clark County (Central)--Spring Valley & Summerlin South PUMA,32,
Cheshire County No. 2,33,00500,Southwestern New Hampshire--Cheshire & Sullivan Counties PUMA,33,
55,06,05906,"Orange County (North)--Yorba Linda, La Habra & Brea Cities PUMA",06,
55,06,07114,San Bernardino County (Southwest)--Chino & Chino Hills Cities PUMA,06,
55,06,03714,"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUMA",06,
55,06,03713,Los Angeles County (East Central)--Covina & Walnut Cities PUMA,06,
148,13,01500,Middle Georgia Regional Commission (South)--Houston & Pulaski Counties PUMA,13,
5,06,01700,El Dorado County--El Dorado Hills PUMA,06,
5,06,03900,Madera County--Madera City PUMA,06,
70,13,02100,Three Rivers Regional Commission (North Central)--Coweta County PUMA,13,
70,06,03766,Los Angeles County (South)--Long Beach City (Southwest & Port) PUMA,06,
70,06,03769,Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities PUMA,06,
70,06,03765,Los Angeles County (Southeast)--Long Beach City (East) PUMA,06,
70,06,03767,Los Angeles County (South)--LA City (South/San Pedro) PUMA,06,
49,06,03737,Los Angeles County (Central)--Monterey Park & Rosemead Cities PUMA,06,
49,06,03736,Los Angeles County (Central)--Alhambra & South Pasadena Cities PUMA,06,
49,06,03717,"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities PUMA",06,
87,21,00900,Cumberland Valley Area Development District (South) PUMA,21,
60A,27,01405,Hennepin County--Minneapolis (North) & St. Anthony Cities PUMA,27,
61,01,01500,Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West) PUMA,01,
81,01,01800,"Chilton, Tallapoosa, Chambers & Coosa Counties PUMA",01,
82,39,00100,"Defiance, Williams, Henry & Paulding Counties PUMA",39,
12,53,10300,Chelan & Douglas Counties PUMA,53,
75,17,03700,Kendall & Grundy Counties PUMA,17,
50,17,03009,Kane County (West) PUMA,17,
27,08,00817,Jefferson County (Northeast)--Arvada City PUMA,08,
56,08,00824,DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast) PUMA,08,
109,29,01600,Franklin County PUMA,29,
57,29,01100,Cass & Bates Counties PUMA,29,
6,24,00506,"Baltimore County--Dundalk, Essex & Edgemere PUMA",24,
1A,24,00100,Allegany & Garrett Counties--Cumberland City PUMA,24,
81,51,55002,Chesapeake City (South & West) PUMA,51,
81,51,51167,Virginia Beach City (South) PUMA,51,
36,48,06803,"Hidalgo County (South Central)--Pharr, San Juan & Hidalgo Cities PUMA",48,
36,48,06806,Hidalgo County (Southwest)--Mission City PUMA,48,
