Senate District Number,STATEFIP,PUMA,PUMA Description
16,34,00902,Middlesex County (Southwest) PUMA
16,34,01002,Somerset County (South) PUMA
23,31,00701,"Dodge, Cass, Saunders & Washington Counties PUMA"
27,45,00700,"Lancaster, Chesterfield & Marlboro Counties PUMA"
26,45,01500,Aiken & Edgefield Counties--Aiken & North Augusta Cities PUMA
26,12,01500,Charlotte County PUMA
26,12,09300,"Southeast Heartland--Highlands (South & East), Okeechobee, Hendry & Glades Counties PUMA"
26,12,02700,"Southwest Heartland--Highlands (Northwest), DeSoto & Hardee Counties PUMA"
26,12,10504,Polk County (South) PUMA
4,06,06703,"Sacramento County (North Central)--Arden-Arcade, Carmichael & Fair Oaks (West) PUMA"
4,06,06701,Sacramento County (North Central)--Citrus Heights City PUMA
4,06,06706,"Sacramento County (North)--Sacramento City (North), Antelope & Rio Linda PUMA"
4,06,06101,Placer County (Southwest)--Roseville City PUMA
4,06,10100,Sutter & Yuba Counties--Yuba City PUMA
4,06,00702,Butte County (Southeast)--Oroville City & Paradise Town PUMA
4,06,00701,Butte County (Northwest)--Chico City PUMA
4,06,01100,"Colusa, Glenn, Tehama & Trinity Counties PUMA"
22,12,10502,Polk County (Northeast) PUMA
22,12,10503,Polk County (Central) PUMA
43,13,04300,Atlanta & Northeast Georgia Regional Commissions--Newton & Rockdale Counties PUMA
17,13,06001,Atlanta Regional Commission (Southeast)--Henry County (South)--McDonough City PUMA
8,21,01400,Green River Area Development District (Southwest) PUMA
8,21,01500,Green River Area Development District (Northeast)--Daviess & Hancock Counties PUMA
7,21,02000,Bluegrass Area Development District (West) PUMA
28,27,02600,"Winona, Wabasha, Fillmore & Houston Counties--Winona City PUMA"
15,22,01502,Capital Region Planning Commission 4--East Baton Rouge Parish (North) PUMA
32,36,03710,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA"
15,48,04612,Houston (West) & Spring Valley Village Cities--Between Loop I-610 & Beltway TX-8 PUMA
15,48,04623,Harris County (East)--Baytown City PUMA
15,48,04611,Houston City (Northwest)--Between Loop I-610 & Beltway TX-8 PUMA
15,48,04610,Houston City (North)--West of Aldine & Inside Beltway TX-8 PUMA
15,48,04626,"Harris County (North)--Houston City (North)--I-45, Between Beltway TX-8 & FM-1960 PUMA"
15,48,04625,"Harris County (North)--Houston (North), Humble Cities & Atascocita PUMA"
