Senate District Number,STATEFIP_x,PUMA,PUMA Description_x,Assembly District Number,STATEFIP_y,PUMA Description_y,STATEFIP_y
16,34,00902,Middlesex County (Southwest) PUMA,55,41,Jackson County (Outside Medford & Central Point Cities)--Ashland City PUMA,41
16,34,00902,Middlesex County (Southwest) PUMA,16,34,Middlesex County (Southwest) PUMA,34
16,34,00902,Middlesex County (Southwest) PUMA,38,72,"Trujillo Alto, Canóvanas, Loíza & Carolina (Sur) Municipios--Carr 852-Carr 185 PUMA",72
16,34,00902,Middlesex County (Southwest) PUMA,51,12,Brevard County (East)--Beaches & Merritt Island PUMA,12
16,34,00902,Middlesex County (Southwest) PUMA,137,36,Monroe County (Central)--Rochester City (East) PUMA,36
16,34,00902,Middlesex County (Southwest) PUMA,15,29,"Kansas City (North Central), Gladstone City & North Kansas City PUMA",29
16,34,00902,Middlesex County (Southwest) PUMA,90,09,"Meriden, Wallingford & North Haven Towns PUMA",09
16,34,00902,Middlesex County (Southwest) PUMA,14,39,"Cuyahoga County (West)--Berea, Brook Park, Lakewood & Rocky River Cities PUMA",39
16,34,00902,Middlesex County (Southwest) PUMA,13,24,"Howard County (East)--Columbia (East), Ellicott City (Southeast) & Elkridge PUMA",24
55,36,00902,Monroe County (Central)--Rochester City (East) PUMA,55,41,Jackson County (Outside Medford & Central Point Cities)--Ashland City PUMA,41
55,36,00902,Monroe County (Central)--Rochester City (East) PUMA,16,34,Middlesex County (Southwest) PUMA,34
55,36,00902,Monroe County (Central)--Rochester City (East) PUMA,38,72,"Trujillo Alto, Canóvanas, Loíza & Carolina (Sur) Municipios--Carr 852-Carr 185 PUMA",72
55,36,00902,Monroe County (Central)--Rochester City (East) PUMA,51,12,Brevard County (East)--Beaches & Merritt Island PUMA,12
55,36,00902,Monroe County (Central)--Rochester City (East) PUMA,137,36,Monroe County (Central)--Rochester City (East) PUMA,36
55,36,00902,Monroe County (Central)--Rochester City (East) PUMA,15,29,"Kansas City (North Central), Gladstone City & North Kansas City PUMA",29
55,36,00902,Monroe County (Central)--Rochester City (East) PUMA,90,09,"Meriden, Wallingford & North Haven Towns PUMA",09
55,36,00902,Monroe County (Central)--Rochester City (East) PUMA,14,39,"Cuyahoga County (West)--Berea, Brook Park, Lakewood & Rocky River Cities PUMA",39
55,36,00902,Monroe County (Central)--Rochester City (East) PUMA,13,24,"Howard County (East)--Columbia (East), Ellicott City (Southeast) & Elkridge PUMA",24
VIII,72,00902,"Trujillo Alto, Canóvanas, Loíza & Carolina (Sur) Municipios--Carr 852-Carr 185 PUMA",55,41,Jackson County (Outside Medford & Central Point Cities)--Ashland City PUMA,41
VIII,72,00902,"Trujillo Alto, Canóvanas, Loíza & Carolina (Sur) Municipios--Carr 852-Carr 185 PUMA",16,34,Middlesex County (Southwest) PUMA,34
VIII,72,00902,"Trujillo Alto, Canóvanas, Loíza & Carolina (Sur) Municipios--Carr 852-Carr 185 PUMA",38,72,"Trujillo Alto, Canóvanas, Loíza & Carolina (Sur) Municipios--Carr 852-Carr 185 PUMA",72
VIII,72,00902,"Trujillo Alto, Canóvanas, Loíza & Carolina (Sur) Municipios--Carr 852-Carr 185 PUMA",51,12,Brevard County (East)--Beaches & Merritt Island PUMA,12
VIII,72,00902,"Trujillo Alto, Canóvanas, Loíza & Carolina (Sur) Municipios--Carr 852-Carr 185 PUMA",137,36,Monroe County (Central)--Rochester City (East) PUMA,36
VIII,72,00902,"Trujillo Alto, Canóvanas, Loíza & Carolina (Sur) Municipios--Carr 852-Carr 185 PUMA",15,29,"Kansas City (North Central), Gladstone City & North Kansas City PUMA",29
VIII,72,00902,"Trujillo Alto, Canóvanas, Loíza & Carolina (Sur) Municipios--Carr 852-Carr 185 PUMA",90,09,"Meriden, Wallingford & North Haven Towns PUMA",09
