Assembly District Number,poverty_base,poverty_reform,deep_poverty_base,deep_poverty_reform,pct_change,pct_change_deep,child_poverty_base,child_poverty_reform,child_deep_poverty_base,child_deep_poverty_reform,child_pct_change,child_pct_change_deep
1,0.1568981899,0.148466581,0.06692749295,0.06163378392,0.05373936408,0.07909618,0.1151344657,0.09106268505,0.03906435818,0.02140625128,0.2090753669,0.452026034
2,0.1636576004,0.1500625261,0.06075665208,0.0576129811,0.08307022897,0.05174200465,0.1849382938,0.1409895505,0.05398162328,0.0445117557,0.237640039,0.1754276179
3,0.162366976,0.1500032069,0.05968750154,0.05522746671,0.07614706776,0.07472309473,0.1378564268,0.1092529551,0.05492422363,0.04892960291,0.207487401,0.1091434767
4,0.1805606085,0.1739786659,0.09146530343,0.08429086116,0.03645281629,0.078438949,0.1401460542,0.1295830389,0.04496584217,0.02725088339,0.07537147852,0.3939647946
5,0.1574633534,0.1328626634,0.05492694358,0.05135253493,0.1562312087,0.0650756882,0.1897722241,0.1364687362,0.05036404782,0.03853249373,0.2808813999,0.2349206349
6,0.09238248328,0.08661443991,0.03375113003,0.03375113003,0.06243654822,0,0.09140463931,0.08066448625,0.02276480684,0.02276480684,0.1175011809,0
7,0.2275504244,0.2094015264,0.08090102017,0.07267736158,0.07975769813,0.1016508639,0.263908046,0.2217677368,0.08502576298,0.06145065398,0.1596780007,0.2772701846
8,0.1993773211,0.1793182825,0.07786591702,0.06968290572,0.1006084266,0.1050910541,0.2551470858,0.2069000256,0.09413122321,0.07533794923,0.189095086,0.1996497373
9,0.1358635716,0.1224641827,0.04690029579,0.04617968912,0.09862385321,0.01536465092,0.1466121263,0.1185457224,0.04598112982,0.04425932561,0.1914330324,0.03744588745
10,0.1518850586,0.1460060032,0.06038183702,0.0569775198,0.03870726608,0.05637982196,0.171133,0.1586485217,0.06509044535,0.05433432896,0.07295190469,0.1652487755
11,0.1687468822,0.1594154826,0.04316768749,0.04003836442,0.05529820498,0.07249225637,0.221662546,0.2002523672,0.04006073228,0.03513649374,0.09658906836,0.1229193342
12,0.1806579824,0.1437039079,0.04477393342,0.03665253751,0.2045526801,0.1813866975,0.209315831,0.1433533485,0.0416812763,0.0230101683,0.3151337486,0.4479495268
13,0.1711483724,0.1522341886,0.04451365907,0.03526263269,0.1105133723,0.2078244425,0.1975798875,0.160921196,0.0556675978,0.03142263031,0.1855385786,0.4355310531
14,0.1332470394,0.128313774,0.04725478813,0.04051616381,0.03702345226,0.1426019369,0.1372173299,0.1255681071,0.0503600606,0.03060342144,0.08489614842,0.3923076923
15,0.241409062,0.2366974623,0.1018100547,0.09371483517,0.01951707879,0.07951296712,0.2349811258,0.2215823445,0.05583684407,0.03283989745,0.05702066999,0.4118597139
16,0.0919498818,0.08755996641,0.03344261932,0.03306293598,0.04774247996,0.01135327753,0.07029147849,0.06549079573,0.03065324846,0.02997759681,0.06829679595,0.02204176334
17,0.2035957789,0.1986511721,0.07154991958,0.07011399096,0.02428639175,0.02006890612,0.3065996132,0.2807582205,0.08832495164,0.08233655706,0.08428383971,0.06779957954
18,0.2441253434,0.2213264682,0.07345436319,0.06761876245,0.0933900384,0.07944525677,0.3174648216,0.2545360463,0.09030362717,0.07478842912,0.1982228298,0.1718114603
19,0.1383027401,0.1326496409,0.05851024209,0.05851024209,0.04087481727,0,0.08135529412,0.05985882353,0.01052235294,0.01052235294,0.2642295234,0
