,Senate District Number,child,poverty_base,poverty_reform,deep_poverty_base,deep_poverty_reform,pct_change,pct_change_deep
1,1,1,0.09981022325767978,0.07854391351529272,0.034036381590113095,0.022963500120860528,0.21306744988921517,0.3253248715624055
3,10,1,0.15225826097206396,0.13375211190130054,0.02177222898903776,0.01967997328199285,0.12154446630753843,0.09609745093616062
5,11,1,0.20497664543524416,0.18109554140127387,0.05322292993630573,0.049936305732484074,0.11650646337421285,0.0617520344662518
7,12,1,0.23891042078927752,0.20438001787603088,0.05153214758263761,0.03192315648552549,0.14453284540360403,0.38051957888358706
9,13,1,0.1308557523780353,0.12201575714261405,0.03316487144145524,0.029221331699763473,0.067555266579974,0.1189071318624936
11,14,1,0.25250498293976553,0.20220938481808046,0.09991554339380426,0.05934258977737238,0.19918655678047736,0.4060724912090885
13,15,1,0.17479903079237044,0.15477476133065768,0.04393243821694071,0.03750770692857788,0.11455595246118935,0.1462411727898453
15,16,1,0.232443225150411,0.18449707651893907,0.059886344377595116,0.051902381154139476,0.2062703638724966,0.13331859385363698
17,17,1,0.13364441332190236,0.10929247845236614,0.027676520441620146,0.02307576521096066,0.18221438715048247,0.16623315204540084
19,18,1,0.36238348139956006,0.3083018363452961,0.08560091391903553,0.06213920250841608,0.14923871487021262,0.2740824873997303
21,19,1,0.2887452280770195,0.2537687742079304,0.07127372028868392,0.05079276618274027,0.12113257802397179,0.2873563218390804
23,2,1,0.17905944694646647,0.1542098882592692,0.0648721591688289,0.053544490584046915,0.1387782611359598,0.17461525452393034
25,20,1,0.2795822581248364,0.23627005497587794,0.07850891955570515,0.051114476981188525,0.15491756679931779,0.3489341431463618
27,21,1,0.3022861769046698,0.24985312871655993,0.11033257390133115,0.0881908323661322,0.1734549979261717,0.2006818181818181
29,22,1,0.33550866266936097,0.28480566374361715,0.06997808895976981,0.05922132990076144,0.15112277138343488,0.15371610198147023
31,23,1,0.21857288001813707,0.17574500600371137,0.07331665169237486,0.05281586659165526,0.19594322045293022,0.27961976750844636
33,24,1,0.40646102684176594,0.3562387593742577,0.08469917540466253,0.06008008415623197,0.12355985974286195,0.29066506410256415
35,25,1,0.19768437338834452,0.18381124290871584,0.06479628674574522,0.04760185662712738,0.07017818475907232,0.2653613498885705
37,26,1,0.09823025638245976,0.09323676080004337,0.02826711474876687,0.019547129925741234,0.050834597875569064,0.3084851390220517
39,27,1,0.17185141592968575,0.15045308660138731,0.057977648090933365,0.04704689977604499,0.12451645633838547,0.18853383458646616
41,28,1,0.1923432454952609,0.15195031767524217,0.0533928757421102,0.035686386834704716,0.21000439976985816,0.3316264325774202
43,29,1,0.2124292484658924,0.17254642015098953,0.05905024251998508,0.05487858123824115,0.1877464078177843,0.07064596356792374
45,3,1,0.13140503735175788,0.1159031810370311,0.035457865914454205,0.0257479119590759,0.11797003088420342,0.2738448495125054
47,30,1,0.4864160169607441,0.43901313089864585,0.12483329913828478,0.09906305566953905,0.09745338230900376,0.20643725389488107
49,31,1,0.23227373526574505,0.1855776289139216,0.054667112489575044,0.0417805244568455,0.20103911575881922,0.23572834645669283
51,32,1,0.28353130917756214,0.23990413801226815,0.057789013020196255,0.043124303460273454,0.15387073579931299,0.25376293508936965
53,33,1,0.43699094319288717,0.3524020227560051,0.10729311309610164,0.08107603987482125,0.19357133541219565,0.24435000965810316
55,34,1,0.35601328446302893,0.30092520893202324,0.07271465363458549,0.06212608767975037,0.1547360110847955,0.14561804843417206
57,35,1,0.3573786374470566,0.29706603563283435,0.08094980880360787,0.06706449234357048,0.16876386972950277,0.17152994757189016
59,36,1,0.2122497551643246,0.1711059739904799,0.05011729337007766,0.025064340537955223,0.1938460713040212,0.4998863894569416
61,37,1,0.2156564180301681,0.17249454486129331,0.0562440095439436,0.046282008578672956,0.20014184397163126,0.17712110224800576
63,38,1,0.2325567626772446,0.19465295368909827,0.05807998579082917,0.04197625884372872,0.16298734361361647,0.2772680937818553
65,39,1,0.16730177706379745,0.1378812219025915,0.06541637090447193,0.048841234853862346,0.17585321374074206,0.25337902151151726
67,4,1,0.16964195866121923,0.1318332763096987,0.05574093827359269,0.04643468110370922,0.22287341321627713,0.1669555170421721
69,40,1,0.3304101707498144,0.2901140711552738,0.0953293643995203,0.06234295585631888,0.12195780627180706,0.3460256842262908
71,5,1,0.20340509493682712,0.16566952791303405,0.06044865638511355,0.03893886001068763,0.18551928129191092,0.3558358061325421
73,6,1,0.24460952516914541,0.20419817164883014,0.08645154053626876,0.06865239403873902,0.16520760380190086,0.20588582212786039
75,7,1,0.15811112263955177,0.1455350349311752,0.046733416338106105,0.03257505014871689,0.07953955103491647,0.3029602220166512
77,8,1,0.20226239093458764,0.15443351078130882,0.04381578239840608,0.0323538318291292,0.23646946885319303,0.2615941092882057
79,9,1,0.26651657998122436,0.22765273025774274,0.07357213726702824,0.05683420908617675,0.1458215084638243,0.2275036284470247
